outcome,statistic,feature,level,estimate,std.error,z,p,lower,upper
y,amce,Provider,Stranger,0,NA,NA,NA,NA,NA
y,amce,Provider,Neighbor,0.034761086,0.018655781,1.863287568,0.062421818,-0.001803574,0.071325746
y,amce,Provider,Friend,0.094956771,0.019377738,4.900302163,9.57E-07,0.056977103,0.13293644
y,amce,Provider,Family,0.088832224,0.020558849,4.320875304,1.55E-05,0.04853762,0.129126829
y,amce,Aquisition Place,One's own home,0,NA,NA,NA,NA,NA
y,amce,Aquisition Place,Another person's home,-0.028712606,0.019202129,-1.495282439,0.134840746,-0.066348088,0.008922875
y,amce,Aquisition Place,"Outside (park, street, etc.)",-0.082505734,0.019240745,-4.288073813,1.80E-05,-0.1202169,-0.044794567
y,amce,Aquisition Place,Market,-0.028615112,0.018437792,-1.55198149,0.120666653,-0.06475252,0.007522296
y,amce,Distribution Media,North Korean phone/tablet,0,NA,NA,NA,NA,NA
y,amce,Distribution Media,CD/DVD,0.033886128,0.019327867,1.753226425,0.079563149,-0.003995796,0.071768052
y,amce,Distribution Media,USB,0.035916798,0.017700356,2.029156816,0.04244232,0.001224738,0.070608858
y,amce,Distribution Media,Foreign device (phone etc.),-0.023890202,0.018041959,-1.324146795,0.185454297,-0.059251791,0.011471388
y,amce,Content Subject,Not country-related,0,NA,NA,NA,NA,NA
y,amce,Content Subject,International content,0.02164894,0.018367582,1.178649439,0.238537796,-0.014350859,0.057648738
y,amce,Content Subject,South Korean content,0.058617681,0.019189373,3.054694968,0.002252895,0.021007201,0.096228161
y,amce,Content Subject,North Korean content,-0.059136137,0.019825243,-2.98287074,0.002855586,-0.0979929,-0.020279375
y,amce,Content Form,Text,0,NA,NA,NA,NA,NA
y,amce,Content Form,Recorded file (audiobook etc.),0.014843496,0.018054858,0.822133095,0.411001152,-0.020543375,0.050230367
y,amce,Content Form,Video,0.045643041,0.017567978,2.59808172,0.009374618,0.011210438,0.080075645
y,amce,Content Form,Computer program or app,-0.005491247,0.017987083,-0.305288341,0.760146555,-0.040745283,0.029762789
y,amce,Target Age,Youth,0,NA,NA,NA,NA,NA
y,amce,Target Age,19-29,0.03962268,0.017246119,2.297483907,0.02159118,0.005820909,0.073424451
y,amce,Target Age,30-49,-0.006955788,0.017680603,-0.393413514,0.69401409,-0.041609132,0.027697556
y,amce,Target Age,50+,-0.074875736,0.018126014,-4.130844082,3.61E-05,-0.11040207,-0.039349402
y,amce,Type,Non-fiction,0,NA,NA,NA,NA,NA
y,amce,Type,Fiction,-0.045773527,0.013884161,-3.296816311,0.000977874,-0.072985982,-0.018561072
